"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","03.01.2017 16:00 - 03.01.2017 16:15 (CET/CEST)","0","219","601"
"BZN|NL","03.01.2017 16:15 - 03.01.2017 16:30 (CET/CEST)","0","219","604"
"BZN|NL","03.01.2017 16:30 - 03.01.2017 16:45 (CET/CEST)","0","221","609"
"BZN|NL","03.01.2017 16:45 - 03.01.2017 17:00 (CET/CEST)","0","221","615"
"BZN|NL","03.01.2017 17:00 - 03.01.2017 17:15 (CET/CEST)","0","221","614"
"BZN|NL","03.01.2017 17:15 - 03.01.2017 17:30 (CET/CEST)","0","221","623"
"BZN|NL","03.01.2017 17:30 - 03.01.2017 17:45 (CET/CEST)","0","220","629"
"BZN|NL","03.01.2017 17:45 - 03.01.2017 18:00 (CET/CEST)","0","221","627"
"BZN|NL","03.01.2017 18:00 - 03.01.2017 18:15 (CET/CEST)","0","221","624"
"BZN|NL","03.01.2017 18:15 - 03.01.2017 18:30 (CET/CEST)","0","220","612"
"BZN|NL","03.01.2017 18:30 - 03.01.2017 18:45 (CET/CEST)","0","220","615"
"BZN|NL","03.01.2017 18:45 - 03.01.2017 19:00 (CET/CEST)","0","218","602"
"BZN|NL","03.01.2017 19:00 - 03.01.2017 19:15 (CET/CEST)","0","220","602"
"BZN|NL","03.01.2017 19:15 - 03.01.2017 19:30 (CET/CEST)","0","220","606"
"BZN|NL","03.01.2017 19:30 - 03.01.2017 19:45 (CET/CEST)","0","221","593"
"BZN|NL","03.01.2017 19:45 - 03.01.2017 20:00 (CET/CEST)","0","221","595"
"BZN|NL","03.01.2017 20:00 - 03.01.2017 20:15 (CET/CEST)","0","221","613"
"BZN|NL","03.01.2017 20:15 - 03.01.2017 20:30 (CET/CEST)","0","221","615"
"BZN|NL","03.01.2017 20:30 - 03.01.2017 20:45 (CET/CEST)","0","221","616"
"BZN|NL","03.01.2017 20:45 - 03.01.2017 21:00 (CET/CEST)","0","221","618"
"BZN|NL","03.01.2017 21:00 - 03.01.2017 21:15 (CET/CEST)","0","220","611"
"BZN|NL","03.01.2017 21:15 - 03.01.2017 21:30 (CET/CEST)","0","220","612"
"BZN|NL","03.01.2017 21:30 - 03.01.2017 21:45 (CET/CEST)","0","221","615"
"BZN|NL","03.01.2017 21:45 - 03.01.2017 22:00 (CET/CEST)","0","221","619"
"BZN|NL","03.01.2017 22:00 - 03.01.2017 22:15 (CET/CEST)","0","221","613"
"BZN|NL","03.01.2017 22:15 - 03.01.2017 22:30 (CET/CEST)","0","220","608"
"BZN|NL","03.01.2017 22:30 - 03.01.2017 22:45 (CET/CEST)","0","220","608"
